mode,k,algorithm,acc,acc_sdev,n_labels[b],n_labels[u],n_labels[r],n_labels[c],n_labels[g],n_labels,b.b,b.u,b.r,b.c,b.g,u.b,u.u,u.r,u.c,u.g,r.b,r.u,r.r,r.c,r.g,c.b,c.u,c.r,c.c,c.g,g.b,g.u,g.r,g.c,g.g
centrality,1,lgc,0.589,0.0,1,1,1,1,1,5,0.363,0.47,0.107,0.06,0.0,0.226,0.651,0.094,0.0,0.028,0.078,0.078,0.824,0.02,0.0,0.526,0.064,0.186,0.224,0.0,0.0,0.0,0.01,0.0,0.99
centrality,2,lgc,0.606,0.0,2,2,2,2,2,10,0.232,0.446,0.298,0.024,0.0,0.113,0.66,0.189,0.0,0.038,0.098,0.118,0.784,0.0,0.0,0.397,0.064,0.083,0.455,0.0,0.01,0.0,0.0,0.0,0.99
centrality,3,lgc,0.71,0.0,3,3,3,3,3,15,0.536,0.369,0.077,0.018,0.0,0.17,0.642,0.123,0.009,0.057,0.078,0.118,0.804,0.0,0.0,0.244,0.071,0.096,0.59,0.0,0.01,0.0,0.0,0.0,0.99
centrality,4,lgc,0.703,0.0,4,4,4,4,4,20,0.524,0.399,0.054,0.024,0.0,0.179,0.651,0.085,0.028,0.057,0.059,0.176,0.765,0.0,0.0,0.212,0.077,0.122,0.59,0.0,0.01,0.0,0.0,0.0,0.99
centrality,5,lgc,0.753,0.0,5,5,5,5,5,25,0.679,0.274,0.036,0.012,0.0,0.283,0.623,0.028,0.009,0.057,0.039,0.157,0.804,0.0,0.0,0.154,0.083,0.115,0.647,0.0,0.01,0.0,0.0,0.0,0.99
centrality,6,lgc,0.759,0.0,6,6,6,6,6,30,0.69,0.274,0.024,0.012,0.0,0.321,0.585,0.028,0.009,0.057,0.039,0.118,0.843,0.0,0.0,0.122,0.09,0.109,0.679,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.01,lgc,0.615,0.0,2,2,1,2,2,9,0.393,0.56,0.024,0.024,0.0,0.283,0.67,0.009,0.0,0.038,0.49,0.157,0.353,0.0,0.0,0.449,0.064,0.032,0.455,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.02,lgc,0.726,0.0,4,3,2,4,4,17,0.75,0.22,0.006,0.024,0.0,0.292,0.613,0.009,0.028,0.057,0.549,0.157,0.294,0.0,0.0,0.301,0.071,0.013,0.615,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.03,lgc,0.72,0.0,6,4,2,5,6,23,0.857,0.131,0.0,0.012,0.0,0.481,0.453,0.0,0.009,0.057,0.706,0.078,0.216,0.0,0.0,0.288,0.077,0.013,0.622,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.04,lgc,0.794,0.0,7,5,3,7,8,30,0.857,0.125,0.006,0.012,0.0,0.481,0.453,0.0,0.009,0.057,0.137,0.176,0.686,0.0,0.0,0.128,0.064,0.019,0.788,0.0,0.01,0.0,0.0,0.0,0.99
centrality,0.05,lgc,0.793,0.0,9,6,3,8,10,36,0.851,0.137,0.0,0.012,0.0,0.443,0.491,0.0,0.009,0.057,0.137,0.196,0.667,0.0,0.0,0.135,0.077,0.013,0.776,0.0,0.01,0.0,0.0,0.0,0.99
rand,1,hf,0.615,0.0983,1,1,1,1,1,5,0.437,0.194,0.161,0.208,0.0,0.327,0.375,0.148,0.137,0.012,0.146,0.102,0.632,0.12,0.0,0.165,0.084,0.196,0.554,0.0,0.004,0.039,0.005,0.002,0.95
rand,2,hf,0.641,0.1104,2,2,2,2,2,10,0.406,0.176,0.21,0.209,0.0,0.237,0.436,0.184,0.127,0.016,0.109,0.087,0.698,0.106,0.0,0.111,0.061,0.213,0.616,0.0,0.004,0.014,0.005,0.0,0.976
rand,3,hf,0.699,0.0889,3,3,3,3,3,15,0.437,0.236,0.152,0.176,0.0,0.243,0.527,0.119,0.097,0.014,0.066,0.081,0.783,0.071,0.0,0.065,0.045,0.146,0.744,0.0,0.005,0.008,0.004,0.0,0.983
rand,4,hf,0.712,0.0877,4,4,4,4,4,20,0.5,0.181,0.162,0.158,0.0,0.251,0.513,0.134,0.088,0.015,0.07,0.065,0.778,0.086,0.0,0.073,0.032,0.15,0.745,0.0,0.006,0.004,0.004,0.0,0.987
rand,5,hf,0.715,0.0921,5,5,5,5,5,25,0.523,0.192,0.149,0.136,0.0,0.255,0.564,0.099,0.071,0.012,0.087,0.069,0.803,0.041,0.0,0.106,0.031,0.163,0.699,0.0,0.007,0.004,0.002,0.0,0.986
rand,6,hf,0.752,0.0763,6,6,6,6,6,30,0.605,0.15,0.13,0.116,0.0,0.277,0.583,0.08,0.052,0.008,0.069,0.064,0.834,0.033,0.0,0.099,0.016,0.134,0.751,0.0,0.007,0.004,0.002,0.0,0.987
rand,0.01,hf,0.673,0.0949,2,2,1,2,2,9,0.495,0.191,0.105,0.209,0.0,0.322,0.438,0.088,0.132,0.02,0.168,0.108,0.44,0.285,0.0,0.121,0.065,0.085,0.729,0.0,0.005,0.008,0.004,0.001,0.982
rand,0.02,hf,0.722,0.068,4,3,2,4,4,17,0.584,0.156,0.07,0.19,0.0,0.349,0.449,0.065,0.117,0.02,0.165,0.081,0.529,0.225,0.0,0.095,0.021,0.069,0.815,0.0,0.006,0.003,0.003,0.0,0.988
rand,0.03,hf,0.75,0.0554,6,4,2,5,6,23,0.711,0.122,0.021,0.145,0.0,0.417,0.459,0.023,0.079,0.021,0.258,0.092,0.404,0.246,0.0,0.12,0.018,0.023,0.839,0.0,0.007,0.003,0.001,0.0,0.988
rand,0.04,hf,0.77,0.0621,7,5,3,7,8,30,0.703,0.088,0.027,0.182,0.0,0.374,0.49,0.024,0.096,0.015,0.184,0.06,0.509,0.247,0.0,0.069,0.008,0.037,0.885,0.0,0.008,0.002,0.0,0.0,0.989
rand,0.05,hf,0.77,0.0545,9,6,3,8,10,36,0.754,0.088,0.025,0.133,0.0,0.406,0.487,0.021,0.069,0.018,0.238,0.073,0.472,0.217,0.0,0.106,0.011,0.029,0.854,0.0,0.008,0.002,0.0,0.0,0.989
maxdeg,1,hf,0.695,0.0,1,1,1,1,1,5,0.351,0.411,0.119,0.119,0.0,0.057,0.717,0.094,0.104,0.028,0.02,0.118,0.804,0.059,0.0,0.0,0.077,0.269,0.654,0.0,0.0,0.0,0.01,0.0,0.99
maxdeg,2,hf,0.724,0.0,2,2,2,2,2,10,0.69,0.232,0.06,0.018,0.0,0.274,0.642,0.066,0.0,0.019,0.157,0.098,0.745,0.0,0.0,0.346,0.064,0.096,0.494,0.0,0.0,0.0,0.01,0.0,0.99
maxdeg,3,hf,0.757,0.0,3,3,3,3,3,15,0.78,0.137,0.06,0.024,0.0,0.406,0.509,0.066,0.0,0.019,0.176,0.059,0.765,0.0,0.0,0.212,0.064,0.096,0.628,0.0,0.0,0.0,0.01,0.0,0.99
maxdeg,4,hf,0.778,0.0,4,4,4,4,4,20,0.827,0.119,0.03,0.024,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.078,0.765,0.0,0.0,0.179,0.064,0.09,0.667,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,5,hf,0.784,0.0,5,5,5,5,5,25,0.839,0.107,0.03,0.024,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.078,0.765,0.0,0.0,0.167,0.058,0.09,0.686,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,6,hf,0.781,0.0,6,6,6,6,6,30,0.833,0.107,0.03,0.03,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.078,0.765,0.0,0.0,0.167,0.058,0.09,0.686,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,0.01,hf,0.725,0.0,2,2,1,2,2,9,0.69,0.232,0.06,0.018,0.0,0.274,0.642,0.066,0.0,0.019,0.157,0.098,0.745,0.0,0.0,0.359,0.064,0.083,0.494,0.0,0.0,0.0,0.01,0.0,0.99
maxdeg,0.02,hf,0.776,0.0,4,3,2,4,4,17,0.845,0.101,0.03,0.024,0.0,0.481,0.481,0.009,0.009,0.019,0.196,0.059,0.745,0.0,0.0,0.179,0.064,0.09,0.667,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,0.03,hf,0.786,0.0,6,4,2,5,6,23,0.863,0.083,0.03,0.024,0.0,0.462,0.509,0.009,0.009,0.009,0.157,0.098,0.745,0.0,0.0,0.173,0.058,0.09,0.679,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,0.04,hf,0.782,0.0,7,5,3,7,8,30,0.839,0.101,0.03,0.03,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.078,0.765,0.0,0.0,0.167,0.058,0.09,0.686,0.0,0.01,0.0,0.0,0.0,0.99
maxdeg,0.05,hf,0.789,0.0,9,6,3,8,10,36,0.905,0.054,0.03,0.012,0.0,0.491,0.491,0.009,0.009,0.0,0.176,0.059,0.765,0.0,0.0,0.212,0.058,0.058,0.673,0.0,0.01,0.0,0.0,0.0,0.99
layers,1,hf,0.695,0.0,1,1,1,1,1,5,0.351,0.411,0.119,0.119,0.0,0.057,0.717,0.094,0.104,0.028,0.02,0.118,0.804,0.059,0.0,0.0,0.077,0.269,0.654,0.0,0.0,0.0,0.01,0.0,0.99
layers,2,hf,0.724,0.0,2,2,2,2,2,10,0.69,0.232,0.06,0.018,0.0,0.274,0.642,0.066,0.0,0.019,0.157,0.098,0.745,0.0,0.0,0.346,0.064,0.096,0.494,0.0,0.0,0.0,0.01,0.0,0.99
layers,3,hf,0.755,0.0,3,3,3,3,3,15,0.78,0.137,0.06,0.024,0.0,0.406,0.509,0.066,0.0,0.019,0.176,0.078,0.745,0.0,0.0,0.212,0.064,0.096,0.628,0.0,0.0,0.0,0.01,0.0,0.99
layers,4,hf,0.776,0.0,4,4,4,4,4,20,0.827,0.119,0.03,0.024,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.098,0.745,0.0,0.0,0.179,0.064,0.09,0.667,0.0,0.01,0.0,0.0,0.0,0.99
layers,5,hf,0.781,0.0,5,5,5,5,5,25,0.839,0.107,0.03,0.024,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.098,0.745,0.0,0.0,0.173,0.058,0.09,0.679,0.0,0.01,0.0,0.0,0.0,0.99
layers,6,hf,0.782,0.0,6,6,6,6,6,30,0.845,0.095,0.03,0.03,0.0,0.462,0.519,0.009,0.009,0.0,0.157,0.098,0.745,0.0,0.0,0.167,0.058,0.09,0.686,0.0,0.01,0.0,0.0,0.0,0.99
layers,0.01,hf,0.725,0.0,2,2,1,2,2,9,0.69,0.232,0.06,0.018,0.0,0.274,0.642,0.066,0.0,0.019,0.157,0.098,0.745,0.0,0.0,0.359,0.064,0.083,0.494,0.0,0.0,0.0,0.01,0.0,0.99
layers,0.02,hf,0.776,0.0,4,3,2,4,4,17,0.845,0.101,0.03,0.024,0.0,0.481,0.481,0.009,0.009,0.019,0.196,0.059,0.745,0.0,0.0,0.179,0.064,0.09,0.667,0.0,0.01,0.0,0.0,0.0,0.99
